r_kpc,correlation,correlation_err,n_pairs
0.3356310015978688,0.06873725838414409,1.7238256557915297e-05,2999924289
0.37808217868035576,0.066560468321083,1.4736548524027492e-05,4142040641
0.4259026524818861,0.06403337517700122,1.2645317733617147e-05,5683888832
0.4797715407381379,0.061115441232317005,1.0894936581839291e-05,7744182071
0.5404538571452931,0.057677176112885815,9.429122327773559e-06,10466591094
0.608811375626487,0.05362640149927284,8.202712582237373e-06,14015916574
0.685814868729064,0.04884649020233846,7.1737134499926e-06,18574231101
0.7725578939550297,0.0432508630835644,6.31004315964119e-06,24320696660
0.8702723238099099,0.036837396306254905,5.585969666847476e-06,31406119661
0.9803458401184718,0.029805865664618344,4.97856731464581e-06,39900345572
1.1043416410511022,0.02245016264062415,4.47065579452721e-06,49745684893
1.2440206407282353,0.014687335290328644,4.046281262165926e-06,60756637622
1.401366476668316,0.006543102063467646,3.6911337131531803e-06,72608485161
1.5786136802201027,-0.0016139624270915527,3.3980715115704528e-06,84746299110
1.7782794100389228,-0.009178647298201946,3.164299887012635e-06,96328800149
2.003199199266707,-0.015443071463773115,2.9900751459610723e-06,106206606897
2.256567224075852,-0.019411374884463553,2.8815695191306994e-06,113055067824
2.541981665446659,-0.020360642920115305,2.849488488954283e-06,115464286354
2.8634958083791466,-0.018371479878315923,2.9045860060153533e-06,112264385318
3.2256756042196577,-0.013862104913838878,3.0648483780051354e-06,103077889730
3.633664513567943,-0.007558817786612798,3.3629842751888562e-06,88672051490
4.09325655062487,-0.0006174713177457697,3.8551059657129105e-06,70946038436
4.610978566312856,0.005716814834216535,4.630126243393788e-06,52481049659
5.194182938704605,0.010762989623591073,5.804960411899802e-06,35928791331
5.85115198709415,0.013401878430451104,7.550708160620839e-06,22883010683
6.591215592536302,0.011985290904863525,1.0162127699455152e-05,13666895829
7.424883695230974,0.01018754814587665,1.4210895842520397e-05,7634227362
8.363995550400915,0.0167308132129457,2.1043485855460212e-05,3911066377
9.421887862305445,0.025614974809362985,3.4009008975945535e-05,1791539190
