name,z,M_bar,MSL,g_bar,Sigma_required,Sigma_old,Sigma_new,ratio_old,ratio_new,g_dagger_optimal
Abell 2744,0.308,11.5,179.69000000000003,4.0074396517796796e-11,15.625217391304348,6.944823082620498,5.848036604848373,0.44446249346171585,0.3742691354875412,5.05790743428323e-10
Abell 370,0.375,13.5,234.13000000000002,4.704385678176145e-11,17.34296296296296,6.264664464248594,5.256398963044256,0.3612222708211507,0.3030854055486159,7.221857641393153e-10
MACS J0416.1-2403,0.396,9.000000000000002,154.70000000000002,3.1362571187840975e-11,17.188888888888886,8.094158573954799,6.855259263788039,0.4708948103787537,0.39881922025916194,4.73405362445887e-10
MACS J0717.5+3745,0.545,15.500000000000002,234.73000000000002,5.401331704572612e-11,15.143870967741934,5.72208745393356,4.787661395883656,0.37784840257304214,0.3161451524568511,6.432011789256047e-10
MACS J1149.5+2223,0.543,10.3,177.85,3.5892720359417994e-11,17.266990291262132,7.444758936023623,6.2851841120427006,0.431155563908031,0.3639999794998021,5.464467068849172e-10
Abell S1063,0.348,10.8,208.95000000000002,3.7635085425409165e-11,19.34722222222222,7.22641487438227,6.094055247345903,0.37351175230116546,0.3149834729425018,7.11499061061616e-10
Abell 1689,0.183,9.5,150.00000000000003,3.310493625383213e-11,15.789473684210526,7.828893719825833,6.622128441873275,0.4958299355889694,0.41940146798530736,4.260545091742151e-10
Coma,0.023,5.5,80.0,1.9166015725902813e-11,14.545454545454543,10.84216121179038,9.283869549485585,0.7453985833105885,0.638266031527134,2.1184499598797662e-10
Bullet Cluster,0.296,7.0,120.00000000000001,2.4393110923876312e-11,17.142857142857142,9.41907155551294,8.023843069232875,0.5494458407382548,0.46805751237191767,3.663442471221804e-10
Abell 2029,0.077,6.700000000000001,95.00000000000001,2.334769188428161e-11,14.17910447761194,9.666102723402734,8.242302029879907,0.6817146131241928,0.5812991957915302,2.4624499113380666e-10
Abell 383,0.187,4.500000000000001,65.0,1.5681285593920487e-11,14.444444444444445,12.150278232278405,10.444130205162786,0.841173108388505,0.7230551680497314,1.7111833067992667e-10
MS 2137-2353,0.313,5.800000000000001,75.00000000000001,2.021143476549752e-11,12.93103448275862,10.51528431669945,8.994168259178004,0.8131819871580909,0.695549012043099,1.8027053619744513e-10
