galaxy,rms_base,rms_gravity,delta
UGC06786,47.68541604902616,620.2727038657254,572.5872878166992
UGC09133,60.44118445872697,631.2635690272027,570.8223845684757
UGC02953,59.89133460148048,360.4650277129346,300.57369311145413
NGC7814,52.58927965499632,226.3689699253751,173.77969027037878
UGC05253,40.5834968515856,213.0596774212108,172.4761805696252
UGC03580,38.66146113497326,198.61417627541087,159.95271514043762
NGC2403,37.23948368905386,190.51413395379447,153.27465026474061
NGC4100,28.52626487423136,173.94377451643948,145.41750964220813
UGC02916,38.19773487996451,169.2263613189924,131.02862643902787
ESO563-G021,57.65645376983528,183.58681322542333,125.93035945558805
