feature,perm_importance_mean,perm_importance_std
log10_omega,0.07450235805462939,0.017040965974347785
z_kpc,0.046346067677183245,0.015667990848589643
R_kpc,0.02851074485624215,0.010099864804298943
log10_shear,0.019876858192106914,0.0094528752390333
log10_n_star,0.01790272925022,0.008766821183335879
sigma_1d_kms,0.012415760001815128,0.009404574471369002
theta_abs,0.012179038373569385,0.0034015574322166535
log10_d_star,0.012094086427099504,0.01123484409343057
sigma_phi_kms,0.008716982814841408,0.007386597594841752
anisotropy_sigma,0.00667796133310324,0.002061480422248864
sigma_z_kms,0.004621434402617789,0.0023665088765853905
sigma_R_kms,0.001766340775331628,0.007388655315062734
sigma_ratio_z_R,0.0010535775059429637,0.005859580177916895
