feature,perm_importance_mean,perm_importance_std,corr_with_target
dlnVbar_dlnR,18.27800492810712,13.080783011015475,0.15390668860833542
dlnGbar_dlnR,17.185235480066535,12.25117820836725,0.13274783848672006
h_term,1.73205308738088,0.9953065790351578,0.19041866350724984
log10_x_gbar,0.7544577626900199,0.5269131838160961,-0.06279218140507101
f_disk_r,0.19173858697882865,0.16766809317602924,0.0994501906141967
f_bulge_global,0.1856248376966497,0.18590264833529876,-0.01019117786280993
f_gas_r,0.10894839475594036,0.01778794730602532,-0.10648490688629318
R_over_L0,0.08578822332148418,0.044614324323389444,-0.12651755512980983
log10_Omega_over_H0,0.053717282451385635,0.07167085078476607,0.048871051551966534
abs_dlnOmega_dlnR,0.05337702847916975,0.01818788237606122,-0.12909728621066335
f_bulge_r,0.02901973714127708,0.024889100650550666,-0.004611823152158768
R_over_Rd,0.0002668829875073219,0.00044075972810451156,-0.0885352035716685
A_use,0.0,0.0,1.3695042465400263e-17
C_term,-7.825225004864991e-05,0.010788026773503394,-0.2847386380079022
tidal_L0,-0.004192889254218827,0.01416385203187562,0.19508014799992876
