combination,K0,mean_improvement,fraction_improved,n_galaxies
additive,0.0,11.628305888926686,0.7818181818181819,165
additive,0.05,10.26271717752143,0.7696969696969697,165
additive,0.1,8.665072337667254,0.7696969696969697,165
additive,0.15,6.877532454174966,0.7515151515151515,165
additive,0.2,4.928921901826277,0.7333333333333333,165
additive,0.25,2.83831404874343,0.7090909090909091,165
additive,0.3,0.6207080119463942,0.696969696969697,165
additive,0.4,-4.142620538287703,0.6606060606060606,165
additive,0.5,-9.271180814922731,0.6484848484848484,165
additive,0.774,-24.646082686733923,0.6060606060606061,165
multiplicative,0.0,11.628305888926686,0.7818181818181819,165
multiplicative,0.05,10.265001080067384,0.7696969696969697,165
multiplicative,0.1,8.527259937389184,0.7696969696969697,165
multiplicative,0.15,6.484057918864915,0.7454545454545455,165
multiplicative,0.2,4.1752697248109225,0.7151515151515152,165
multiplicative,0.25,1.6300130131827866,0.696969696969697,165
multiplicative,0.3,-1.1228479513907765,0.6727272727272727,165
multiplicative,0.4,-7.141821491252358,0.6545454545454545,165
multiplicative,0.5,-13.712756012835467,0.6363636363636364,165
multiplicative,0.774,-33.708242765485615,0.5878787878787879,165
